Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,-,-,The Librarian,Anjuman Tarari Urdu Hind,-,New Delhi,110002,1,B/13,31-05-2013,"Catalogue Cards- Size 5""*3"". White URDU RULED> Indian Card Stock : Heavy Weight.",10000,Th.,600,6000,300,,6300,-,-,-,-,
,-,-,The Principal,East Point School,-,Delhi,110096,1,B/15,22-06-2013,"Plastic Reader's Tickets- Size 2""*3"". Maron Colour. Printed both sides with matter as per your sample. With printed slips.",1000,ea.,4.5,4500,562.5,,5062.5,-,-,-,-,
,F.7(1)2013/UA/1125,6/6/2013,The Secretary,Urdu Academ,-,Delhi,110006,1,B/14,8/8/2013,Book Labels- self Adhesive Sticker type. Rect.Shape.,5000,Th.,140,700,35,,735,-,-,-,-,
,-,-,The Principal,K.R. Mangalam Wold School (Jr.),-,New Delhi,110048,1,B/16,28-06-2013,"Book Cards- Size 2""*4"". Printed one side on yellow card.",3000,Th.,380,1140,,,,,,,,
,-,-,The Principal,K.R. Mangalam Wold School (Jr.),-,New Delhi,110048,1,B/16,28-06-2013,Due Date Slips- Printed one side on white paper.,3000,Th.,300,900,,,,,,,,
,-,-,The Principal,K.R. Mangalam Wold School (Jr.),-,New Delhi,110048,1,B/16,28-06-2013,Book Pockets- Small. Printed self Adhesive,3000,Th.,850,2550,,,,,,,,
,-,-,The Principal,K.R. Mangalam Wold School (Jr.),-,New Delhi,110048,1,B/16,28-06-2013,Insertion Slips- Printed,1000,Th.,175,175,238.25,,5003.25,-,-,-,-,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,Book Pockets- Small. (Plain),3000,Th.,400,1200,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,"Catalogue Cards- Size 5""*3"". Ruled and punched. Indian Card Stock : Heavy Weight.",3000,Th.,580,1740,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,Name Plaes (Book Plates) Printed one side on white art paper.,6000,Th.,280,1680,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,Due Date Slips- Printed one side on white paper.,10000,Th.,280,2800,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,"Book Cards- Size 2""*3"". White (Plain)",6000,Th.,250,1500,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,Book Tags- self Adhesive. Round Shape,10000,Th.,140,1400,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,Accession Register- 5000 entries. Leather Bound.,Two,Each,680,1360,,,,,,,,
,-,29-04-2013,The Vice-Principal,"Delhi Public School,",-,New Delhi,-,1,B/17,28-06-2013,"Membership Cards- Size 2""*3"". Printed one side as per your sample",3000,Th.,250,750,621.5,,13051.5,-,-,-,-,
